project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
BCLLATLAS	BCLLATLAS_41	181961	BCLL_15_T_1_hashing	AR8110	AR8110	4846	Cells in lysis buffer	None	HMHT5DRXX	1	SI-GA-F2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181961	BCLL_15_T_1_hashing	AR8110	AR8110	4846	Cells in lysis buffer	None	HMHT5DRXX	2	SI-GA-F2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181961	BCLL_15_T_1_hashing	AR8110	AR8110	4846	Cells in lysis buffer	None	HTKYJDRXX	1	SI-GA-F2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181961	BCLL_15_T_1_hashing	AR8110	AR8110	4846	Cells in lysis buffer	None	HTKYJDRXX	2	SI-GA-F2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181962	BCLL_15_T_2_hashing	AR8111	AR8111	4846	Cells in lysis buffer	None	HMHT5DRXX	1	SI-GA-G2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181962	BCLL_15_T_2_hashing	AR8111	AR8111	4846	Cells in lysis buffer	None	HMHT5DRXX	2	SI-GA-G2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181962	BCLL_15_T_2_hashing	AR8111	AR8111	4846	Cells in lysis buffer	None	HTKYJDRXX	1	SI-GA-G2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181962	BCLL_15_T_2_hashing	AR8111	AR8111	4846	Cells in lysis buffer	None	HTKYJDRXX	2	SI-GA-G2	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181963	BCLL_15_T_1_HTO	AR8112	AR8112	4846	Cells in lysis buffer	None	HMHT5DRXX	1	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181963	BCLL_15_T_1_HTO	AR8112	AR8112	4846	Cells in lysis buffer	None	HMHT5DRXX	2	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181963	BCLL_15_T_1_HTO	AR8112	AR8112	4846	Cells in lysis buffer	None	HVJCGDRXX	1	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181963	BCLL_15_T_1_HTO	AR8112	AR8112	4846	Cells in lysis buffer	None	HVJCGDRXX	2	IlluminaTruSeqD704	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181964	BCLL_15_T_2_HTO	AR8113	AR8113	4846	Cells in lysis buffer	None	HMHT5DRXX	1	IlluminaTruSeqD705	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
BCLLATLAS	BCLLATLAS_41	181964	BCLL_15_T_2_HTO	AR8113	AR8113	4846	Cells in lysis buffer	None	HMHT5DRXX	2	IlluminaTruSeqD705	pass	pass	Single cell RNA-seq	None	Homo sapiens	0	None	None	None	split	800.000	None	None	None	1 * 28 +8+89	Unaffected	None	None	None
